created_at,article,pageid,user,bytes,comment,project
2026-09-25T14:20:48Z,九江学院附属医院,9618379,中少,4693,新条目,zh.wikipedia.org
2026-09-25T14:21:06Z,九江市中医医院,9618380,中少,1746,新条目,zh.wikipedia.org
2026-09-25T14:40:43Z,速古笃,9618401,Bobby.deng,5896,新条目,zh.wikipedia.org
2026-09-25T15:02:59Z,原细胞,9618420,Wenlongtian,66002,[[WP:AES|←]]建立内容为“{{Distinguish|变形菌门|前细胞}} {{see also|细胞进化}} {{进化生物学|前生命化学=}} '''原细胞'''（{{langx|en|protocell 或 protobiont}}），或称'''原初生命体'''，是一种[[自组织]]的、[[膜脂|膜结合]]或[[生物分子凝聚物|无膜]]的区室，能够浓缩生物分子，被认为是[[生命起源…,zh.wikipedia.org
2026-09-25T15:06:46Z,芬咖明,9618422,Vack Xu,3338,通过翻译页面“[[:en:Special:Redirect/revision/1376604954|Fencamine]]”创建,zh.wikipedia.org
2026-09-25T15:08:27Z,金煐汎,9618424,Etasemic,1062,[[WP:AES|←]]建立内容为“{{Infobox person/Wikidata | fetchwikidata=ALL | onlysourced=yes }} '''金煐汎'''（김영범，{{bd|2006年|3月31日}}），[[韩国]][[游泳]]运动员，[[2022年亚洲运动会]]男子4×100米自由泳接力和男子4×100米混合泳接力银牌得主、[[2026年亚洲运动会]]男子50…,zh.wikipedia.org
2026-09-25T15:09:43Z,梅泰文化中的动物,9618426,依水东流,25519,[[WP:AES|←]]建立内容为“[[File:Paphal (Musée du Quai Branly) (4489839164).jpg|thumb|2010年在法国巴黎[[布朗利河岸博物馆|国家凯布朗利博物馆]]展出的[[波比莱]]雕塑]] 动物（{{langx|mni|{{Script|Latn|Saa/Shaa}}|}}）在{{Le|梅泰文化|Meitei culture}}的各个方…,zh.wikipedia.org
2026-09-25T15:12:17Z,田渊海斗,9618427,Etasemic,833,[[WP:AES|←]]建立内容为“{{Infobox person/Wikidata | fetchwikidata=ALL | onlysourced=yes }} '''田渊海斗'''（田渕 海斗，{{bd|2002年|7月1日}}），[[日本]][[游泳]]运动员，2021年世界大运会男子400米个人混合泳金牌得主、男子800米自由泳和男子1500米自由泳银牌得主、[[2026年亚洲运动…,zh.wikipedia.org
2026-09-25T15:12:54Z,前细胞,9618428,Wenlongtian,8049,"[[WP:AES|←]]建立内容为“术语'''前细胞（Pre-cell）'''、[[原细胞]]等常被用来指代预测中那些先于完整[[细胞]]存在的假想祖先实体。这些术语的含义因早期生命进化的不同假说而异，并相应地因相关出版物而异。 存在不同的假说试图解释从[[最後共同祖先]]（LUCA）<ref name=""Harold_2014"" /><ref name=""Brock_2015"" /><ref…",zh.wikipedia.org
2026-09-25T15:16:21Z,光永翔音,9618431,Etasemic,946,[[WP:AES|←]]建立内容为“{{Infobox person/Wikidata | fetchwikidata=ALL | onlysourced=yes }} '''光永翔音'''（光永 翔音，{{bd|2005年|6月28日}}），[[日本]][[游泳]]运动员，2025年世界大运会男子4×100米自由泳接力银牌得主、2026年泛太平洋锦标赛男子4×100米自由泳接力和男子4×100…,zh.wikipedia.org
2026-09-25T15:16:32Z,懿静妃,9618432,Thần Đồng Cổ Nhạc,205,[[WP:AES|←]]建立内容为“'''懿静妃'''可以指: *[[張淑妃 (宋神宗)|懿静淑妃]] *[[懿静貴妃]] == 相关条目 == * [[同谥号庙号列表]] [[Category:諡荣靖]] {{disambig|Cat=三字妃嫔封號消歧義}}”的新页面,zh.wikipedia.org
